Membership No  Date Joined  Active  
    80190      2020-4-14    no    
    75307      2019-2-12    no    
    48939      2015-11-22   no    
    40698      2018-8-10    no    
    39164      2015-11-2    no    
    42419      2016-11-6    no    
    15387      2018-1-19    no    
    93571      2018-7-24    no    
    88261      2017-7-12    no    
    41728      2020-8-6     no    
    82003      2019-5-23    no    
    98618      2016-4-16    no    
    22296      2018-3-24    no    
    95628      2020-1-12    no    
    73495      2015-12-8    no    
    25799      2019-9-22    no    
